UNIQUE_CARRIER_NAME,TOTAL_PASSENGERS,TOTAL_FREIGHT,TOTAL_MAIL
"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",1747345.0,1517143.0,77802.0
"TPI International Airways",0.0,1494645.0,0.0
"Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo",310.0,3801457.0,20806.0
"Tower Air Inc.",4590534.0,1.07778865E8,775774.0
"Tradewind Aviation",136999.0,1.0,0.0
"Trans Continental Airlines",46848.0,661540.0,0.0
"Trans Northern Airways d/b/a Air Unlimited Charter Services",18666.0,0.0,0.0
"Trans States Airlines",1474419.0,0.0,0.0
"Trans World Airways LLC",2.205221E7,8.60837757E8,1.97859364E8
"Trans-Air-Link Corporation",0.0,1.68525797E8,13661.0
"TransMeridian Airlines",3106070.0,57705.0,0.0
"Tropic Ocean Airways LLC",26808.0,201411.0,0.0
"US Airways Inc.",1.03473053E8,2.416749426E9,1.36448857E8
"USA 3000 Airlines",5672055.0,0.0,0.0
"USA Jet Airlines Inc.",50908.0,1.00195412E8,11432.0
"USAfrica Airways Inc.",32857.0,6902812.0,6962.0
"USAir Shuttle",11648.0,0.0,0.0
"UltrAir",20363.0,0.0,0.0
"United Air Lines Inc.",4.07485621E8,1.7190341787E10,2.049138174E9
"United Parcel Service",451711.0,2.9529062381E10,2.48457485E8
"Universal Airlines Inc.",0.0,197849.0,0.0
"Valujet Airlines Inc.",14475.0,0.0,35846.0
"Vanguard Airlines Inc.",62.0,0.0,0.0
"Venture Travel LLC d/b/a Taquan Air Service",368.0,7381.0,1158.0
"Via Airlines d/b/a Charter Air Transport",704.0,0.0,0.0
"Victory Air Transport Inc.",618.0,0.0,0.0
"Vintage Props & Jets Inc.",112895.0,0.0,0.0
"Virgin America",1309226.0,0.0,0.0
"Viscount Air Service Inc.",182467.0,0.0,0.0
"Vision Airlines",355441.0,0.0,0.0
"Warbelow",16.0,395.0,0.0
"Ward Air",10.0,0.0,0.0
"Westair Airlines Inc.",16474.0,0.0,0.0
"Western Global",0.0,4.11135368E8,354578.0
"Western Pacific Airlines",2321.0,12270.0,17020.0
"World Airways Inc.",1353154.0,1.826721575E9,0.0
"Worldwide Airlines Services",298515.0,0.0,0.0
"Wrangler Aviation Inc.",0.0,5.3494206E7,0.0
"Wright Air Service",8.0,3050.0,0.0
"XTRA Airways",910801.0,136.0,0.0
"Yute Air Aka Flight Alaska",4.0,0.0,0.0
"Zantop International",0.0,1777156.0,0.0
"null",106648.0,2.90341124E8,0.0
null,0.0,0.0,0.0
